game_rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Decade
162,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.5,2000
163,Super Mario Advance,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,2000
164,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,2000
165,Super Mario World,GBA,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,2000
166,Pokemon Stadium,N64,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,1990
167,Call of Duty: World at War,PlayStation 3,2008,Shooter,Activision,2.72,1.87,0.0,0.84,5.43,2000
168,Crash Bandicoot: The Wrath of Cortex,PlayStation 2,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,2000
169,Minecraft,PlayStation 3,2014,Misc,Sony Computer Entertainment,1.97,2.51,0.0,0.94,5.42,2010
170,Final Fantasy XIII,PlayStation 3,2009,Role-Playing,Square Enix,1.74,1.24,1.87,0.52,5.36,2000
171,Dr. Mario,Game Boy Advance,1989,Puzzle,Nintendo,2.18,0.96,2.0,0.2,5.34,1980
172,Pokemon Pinball,Game Boy Advance,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31,1990
173,Assassin's Creed III,Xbox 360,2012,Action,Ubisoft,3.13,1.71,0.03,0.44,5.3,2010
174,Final Fantasy IX,PlayStation,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,2000
175,Final Fantasy X-2,PlayStation 2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,2000
176,Donkey Kong 64,N64,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,1990
177,Assassin's Creed II,Xbox 360,2009,Action,Ubisoft,3.1,1.56,0.08,0.51,5.27,2000
178,Professor Layton and the Curious Village,Nintendo DS,2007,Puzzle,Nintendo,1.22,2.48,1.03,0.52,5.26,2000
179,Tomb Raider II,PlayStation,1997,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,1990
180,Madden NFL 2004,PlayStation 2,2007,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23,2000
181,Dragon Quest VIII: Journey of the Cursed King,PlayStation 2,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,2000
182,Diablo III,PC,2012,Role-Playing,Activision,2.43,2.15,0.0,0.62,5.2,2010
183,Super Mario Bros. 3,GBA,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2,2000
184,New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2.32,1.3,1.27,0.31,5.19,2010
185,Super Mario Land 3: Wario Land,Game Boy Advance,1994,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19,1990
186,FIFA Soccer 13,Xbox 360,2012,Action,Electronic Arts,1.08,3.48,0.03,0.58,5.18,2010
187,The Legend of Zelda: Phantom Hourglass,Nintendo DS,2007,Action,Nintendo,1.9,1.83,0.95,0.49,5.17,2000
188,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15,1990
189,Tomodachi Life,Nintendo 3DS,2013,Simulation,Nintendo,0.96,2.02,1.89,0.28,5.15,2010
190,Mario & Sonic at the Olympic Games,Nintendo DS,2008,Sports,Sega,1.64,2.48,0.44,0.58,5.14,2000
191,Medal of Honor: Rising Sun,PlayStation 2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,2000
192,Kirby's Dream Land,Game Boy Advance,1992,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13,1990
193,Fable III,Xbox 360,2010,Role-Playing,Microsoft Game Studios,3.59,1.11,0.05,0.38,5.13,2010
194,Call of Duty: Advanced Warfare,Xbox One,2014,Shooter,Activision,3.21,1.53,0.01,0.38,5.13,2010
195,Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,3.22,1.69,0.0,0.2,5.12,1990
196,Guitar Hero II,PlayStation 2,2006,Misc,RedOctane,3.81,0.63,0.0,0.68,5.12,2000
197,Resident Evil 5,PlayStation 3,2009,Action,Capcom,1.96,1.43,1.08,0.65,5.11,2000
198,Grand Theft Auto V,Xbox One,2014,Action,Take-Two Interactive,2.66,2.01,0.0,0.41,5.08,2010
199,Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,1.7,2.02,0.16,1.21,5.08,2000
200,FIFA Soccer 11,PlayStation 3,2010,Sports,Electronic Arts,0.6,3.29,0.06,1.13,5.08,2010
201,Super Mario Bros.,Game Boy Advance,1999,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07,1990
202,Resident Evil,PlayStation,1996,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,1990
203,Tony Hawk's Pro Skater,PlayStation,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02,1990
204,Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo,2.59,1.06,0.8,0.57,5.02,2010
205,Warzone 2100,PlayStation,1999,Strategy,Eidos Interactive,2.79,1.89,0.0,0.33,5.01,1990
206,Spyro the Dragon,PlayStation,1998,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5.0,1990
207,Link's Crossbow Training,Wii U,2007,Shooter,Nintendo,3.06,1.18,0.29,0.46,5.0,2000
208,Guitar Hero III: Legends of Rock,PlayStation 2,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.98,2000
209,Fallout 3,Xbox 360,2008,Role-Playing,Bethesda Softworks,3.39,1.03,0.09,0.44,4.96,2000
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,Nintendo DS,2007,Role-Playing,Nintendo,1.85,1.2,1.54,0.37,4.96,2000
211,Uncharted: Drake's Fortune,PlayStation 3,2007,Action,Sony Computer Entertainment,2.31,1.73,0.12,0.78,4.94,2000
212,Madden NFL 06,PlayStation 2,2005,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91,2000
213,LEGO Star Wars: The Complete Saga,Nintendo DS,2007,Action,LucasArts,2.89,1.54,0.0,0.46,4.9,2000
214,Diddy Kong Racing,N64,1997,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88,1990
215,Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom,0.0,0.0,4.87,0.0,4.87,2010
216,Dr. Mario,NES,1990,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.85,1990
217,God of War III,PlayStation 3,2010,Action,Sony Computer Entertainment,2.74,1.36,0.12,0.63,4.84,2010
218,StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,2.56,1.68,0.0,0.59,4.83,2010
219,Assassin's Creed,PlayStation 3,2007,Adventure,Ubisoft,1.91,2.0,0.09,0.83,4.83,2000
220,FIFA 15,PlayStation 3,2014,Sports,Electronic Arts,0.57,3.14,0.04,1.07,4.82,2010
221,Crash Team Racing,PlayStation,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,1990
222,FIFA 17,PlayStation 4,2016,Sports,Electronic Arts,0.28,3.75,0.06,0.69,4.77,2010
223,Batman: Arkham City,Xbox 360,2011,Action,Warner Bros. Interactive Entertainment,2.99,1.31,0.04,0.41,4.76,2010
224,Driver 2,PlayStation,2000,Action,Atari,2.36,2.1,0.02,0.25,4.73,2000
225,The Simpsons: Hit & Run,PlayStation 2,2003,Racing,Vivendi Games,1.73,2.19,0.0,0.79,4.7,2000
226,Tony Hawk's Pro Skater 2,PlayStation,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68,2000
227,Animal Crossing: City Folk,Wii U,2008,Simulation,Nintendo,1.87,1.12,1.32,0.37,4.68,2000
228,The Lord of the Rings: The Two Towers,PlayStation 2,2002,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67,2000
229,Forza Motorsport 4,Xbox 360,2011,Racing,Microsoft Game Studios,2.08,2.04,0.06,0.47,4.64,2010
230,Tomb Raider,PlayStation,1996,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63,1990
231,Guitar Hero III: Legends of Rock,Wii U,2007,Misc,Activision,3.06,1.12,0.0,0.44,4.62,2000
232,The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo,2.42,0.91,1.15,0.13,4.61,1990
233,The Legend of Zelda: The Wind Waker,GameCube,2002,Action,Nintendo,2.6,0.99,0.89,0.13,4.6,2000
234,Mario & Sonic at the Olympic Winter Games,Wii U,2009,Sports,Sega,1.89,1.99,0.22,0.48,4.58,2000
